checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2006,1,877,Physical,Horizon,VIDEODISC,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
2006,2,485,Physical,Horizon,VIDEODISC,"The fog [videorecording] / David Foster Productions ; Revolution Studios ; Debra Hill Productions ; produced by John Carpenter, David Foster, Debra Hill ; screenplay by Cooper Layne ; directed by Rupert Wainwright.",,,"Fog California Drama, Ghosts California Drama, Revenge Drama, Feature films, Horror films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,",[2006],balanced_by_year_and_usageclass
2006,3,478,Physical,Horizon,VIDEOCASS | VIDEODISC,City by the sea,,,"Video recordings for the hearing impaired, Feature films, Fathers and sons Drama, Criminal investigation Drama, Detectives New York State Manhattan New York Drama",,,balanced_by_year_and_usageclass
2006,4,384,Physical,Horizon,VIDEODISC,The fifth element [videorecording] / Columbia Pictures presents a Gaumont production ; screenplay by Luc Besson & Robert Mark Kamen ; story by Luc Besson ; produced by Patrice Ledoux ; directed by Luc Besson.,,,"Good and evil Drama, Feature films, Science fiction films, Video recordings for the hearing impaired","Columbia TriStar Home Entertainment,",[2005],balanced_by_year_and_usageclass
2006,5,312,Physical,Horizon,SOUNDDISC,Clap Your Hands Say Yeah [sound recording].,,Clap Your Hands Say Yeah (Musical group),Rock music 2001 2010,"Clap Your Hands Say Yeah,",p2005.,balanced_by_year_and_usageclass
2006,6,299,Physical,Horizon,BOOK | MIXED | SOUNDDISC | VIDEOCASS | VIDEODISC,Cinderella,,,"Animated films, Fairy tales, Video recordings for the hearing impaired, Video recordings for people with visual disabilities, Childrens films, Cinderella Legendary character Drama | Animated films, Video recordings for the hearing impaired, Feature films, Childrens films | Childrens stories, Fairy tales | Fairy tales | Folklore France, Fairy tales | Folklore, Fairy tales | Motion picture music Juvenil sound recordings | Princesses Fiction, Princes Fiction, Stepsisters Fiction, Stepchildren Fiction, Video recordings for the hearing impaired, Cinderella Legendary character Fiction, Animated films, Childrens films, Feature films | Video recordings for the hearing impaired, Childrens films, Stepdaughters Juvenile drama, Princes Juvenile drama",,,balanced_by_year_and_usageclass
2006,7,275,Physical,Horizon,VIDEOCASS | VIDEODISC,Citizen Kane,,,"Citizen Kane Motion picture, Welles Orson 1915 1985, Video recordings for the hearing impaired, Feature films, Hearst William Randolph 1863 1951 Drama | Citizen Kane Motion picture, Welles Orson 1915, Video recordings for the hearing impaired, Feature films, Hearst William Randolph 1863 1951 Drama | Feature films | Video recordings for the hearing impaired, Feature films",,,balanced_by_year_and_usageclass
2006,8,260,Physical,Horizon,SOUNDDISC,Living with war,,,"Protest songs, Rock music 2001 2010, Iraq War 2003 Songs and music",,,balanced_by_year_and_usageclass
2006,9,241,Physical,Horizon,BOOK,The family book / Todd Parr.,,"Parr, Todd","Families Fiction, Individuality Juvenile fiction","Little, Brown,",c2003.,balanced_by_year_and_usageclass
2006,10,239,Physical,Horizon,VIDEODISC,The five people you meet in Heaven [videorecording] / Hallmark Entertainment ; produced by Howard Ellis ; written for television by Mitch Albom ; directed by Lloyd Kramer.,,,"Heaven Drama, Amusement rides Drama, Death Drama, Made for TV movies, Fantasy television programs, Video recordings for the hearing impaired","Hallmark Entertainment ; Distributed by Artisan Home Entertainment,",[2005],balanced_by_year_and_usageclass
