checkoutyear,materialtype,materialtype_checkouts,annual_digital_sample_checkouts,materialtype_share,sampled_title_month_rows
2006,AUDIOBOOK,8548,14445,0.5917618553132572,7452
2006,EBOOK,4884,14445,0.33811007268951193,4068
2006,MUSIC,1013,14445,0.07012807199723088,980
2007,AUDIOBOOK,8747,14959,0.5847315997058626,7550
2007,EBOOK,3619,14959,0.2419279363593823,3089
2007,MUSIC,1129,14959,0.07547295942242128,1110
2007,VIDEO,1464,14959,0.09786750451233371,751
2008,AUDIOBOOK,8749,16237,0.5388310648518815,7284
2008,EBOOK,3953,16237,0.24345630350434194,3194
2008,MUSIC,751,16237,0.0462523865246043,742
2008,VIDEO,2784,16237,0.17146024511917227,1280
2009,AUDIOBOOK,9149,16178,0.5655210780071702,7111
2009,EBOOK,5201,16178,0.32148596859933243,4062
2009,MUSIC,546,16178,0.03374953640746693,533
2009,VIDEO,1282,16178,0.07924341698603041,794
2010,AUDIOBOOK,8145,16757,0.48606552485528437,5883
2010,EBOOK,7491,16757,0.4470370591394641,5771
2010,MUSIC,336,16757,0.02005132183565077,328
2010,VIDEO,785,16757,0.04684609416960076,518
2011,AUDIOBOOK,5333,19100,0.2792146596858639,3623
2011,EBOOK,9863,19100,0.5163874345549738,6108
2011,MUSIC,209,19100,0.01094240837696335,205
2011,SONG,3394,19100,0.17769633507853402,2376
2011,VIDEO,301,19100,0.01575916230366492,188
2012,AUDIOBOOK,4313,23167,0.18616998316570985,2714
2012,EBOOK,15649,23167,0.6754866836448397,7398
2012,MUSIC,55,23167,0.0023740665601933784,54
2012,SONG,2894,23167,0.12491906591272069,2174
2012,VIDEO,256,23167,0.011050200716536453,160
2013,AUDIOBOOK,5271,27911,0.18885027408548602,2659
2013,EBOOK,17973,27911,0.6439396653649099,7382
2013,MAGAZINE,1452,27911,0.05202250008957042,41
2013,MOVIE,245,27911,0.008777901185912365,102
2013,MUSIC,200,27911,0.0071656336211529505,115
2013,SONG,2580,27911,0.09243667371287306,2081
2013,TELEVISION,57,27911,0.0020422055820285907,43
2013,VIDEO,133,27911,0.004765146358066712,77
2014,AUDIOBOOK,5124,30076,0.17036840005319856,2409
2014,EBOOK,18364,30076,0.6105865141641176,7382
2014,MAGAZINE,2267,30076,0.0753757148556989,43
2014,MOVIE,711,30076,0.02364011171698364,240
2014,MUSIC,471,30076,0.015660327171166378,257
2014,SONG,2952,30076,0.09815134991355233,2026
2014,TELEVISION,149,30076,0.004954116238861551,112
2014,VIDEO,38,30076,0.0012634658864210666,31
2015,AUDIOBOOK,5746,31440,0.18276081424936386,2300
2015,EBOOK,17643,31440,0.5611641221374046,6867
2015,MAGAZINE,3367,31440,0.10709287531806616,56
2015,MOVIE,684,31440,0.021755725190839695,293
2015,MUSIC,628,31440,0.019974554707379136,336
2015,SONG,3099,31440,0.09856870229007633,2460
2015,TELEVISION,242,31440,0.007697201017811705,164
2015,VIDEO,31,31440,0.000986005089058524,24
2016,AUDIOBOOK,6426,29361,0.2188617553898028,2469
2016,COMIC,2,29361,6.811757092742072e-05,2
2016,EBOOK,16511,29361,0.5623446067913218,7032
2016,MAGAZINE,2507,29361,0.08538537515752188,34
2016,MOVIE,461,29361,0.015701100098770477,244
2016,MUSIC,524,29361,0.01784680358298423,317
2016,SONG,2720,29361,0.09263989646129218,2241
2016,TELEVISION,201,29361,0.006845815878205783,152
2016,VIDEO,9,29361,0.0003065290691733933,9
2017,AUDIOBOOK,8450,32352,0.26118941641938676,2691
2017,COMIC,244,32352,0.007542037586547972,148
2017,EBOOK,18667,32352,0.5769967853610287,6861
2017,MAGAZINE,1543,32352,0.047694114737883285,19
2017,MOVIE,402,32352,0.012425816023738873,212
2017,MUSIC,401,32352,0.01239490603363007,296
2017,SONG,2369,32352,0.0732257665677547,2075
2017,TELEVISION,256,32352,0.00791295746785361,183
2017,VIDEO,20,32352,0.0006181998021760633,15
2018,AUDIOBOOK,13726,43672,0.314297490382854,3453
2018,COMIC,101,43672,0.002312694632716615,72
2018,EBOOK,25391,43672,0.5814022714782927,7970
2018,MAGAZINE,3219,43672,0.07370855468034439,47
2018,MOVIE,101,43672,0.002312694632716615,80
2018,MUSIC,171,43672,0.003915552298955852,132
2018,SONG,734,43672,0.016807107528851437,591
2018,TELEVISION,197,43672,0.0045108994321304266,128
2018,VIDEO,32,43672,0.0007327349331379373,27
2019,AUDIOBOOK,17866,50919,0.3508709911820735,3915
2019,EBOOK,32478,50919,0.637836563954516,8544
2019,MAGAZINE,532,50919,0.010447966377972859,10
2019,VIDEO,43,50919,0.0008444784854376559,31
2020,AUDIOBOOK,14576,44580,0.3269627635711081,3597
2020,EBOOK,29950,44580,0.6718259309107223,8862
2020,VIDEO,54,44580,0.0012113055181695827,41
2021,AUDIOBOOK,14809,40686,0.3639826967507251,4000
2021,EBOOK,25852,40686,0.635402841272182,8477
2021,VIDEO,25,40686,0.0006144619770928575,23
2022,AUDIOBOOK,17564,44540,0.3943421643466547,4221
2022,EBOOK,26970,44540,0.6055231252806466,8273
2022,VIDEO,6,44540,0.0001347103726986978,6
2023,AUDIOBOOK,21379,49210,0.434444218654745,4361
2023,EBOOK,27831,49210,0.5655557813452551,8139
2024,AUDIOBOOK,22983,48061,0.4782047814236075,4623
2024,EBOOK,25078,48061,0.5217952185763925,7877
2025,AUDIOBOOK,23264,48039,0.4842731946959762,4706
2025,EBOOK,24775,48039,0.5157268053040238,7794
