checkout_year,usageclass,annual_usageclass_checkouts,annual_total_checkouts,annual_usageclass_share,months_represented,annual_title_month_rows,annual_sample_rows
2005,Digital,3959,3798685,0.0010422027622716808,4,3521,0
2005,Physical,3794726,3798685,0.9989577972377284,9,1328131,0
2006,Digital,16839,6599318,0.0025516273045184364,12,14417,12500
2006,Physical,6582479,6599318,0.9974483726954816,12,1924508,12500
2007,Digital,34620,7126627,0.004857838076834946,12,28515,12500
2007,Physical,7092007,7126627,0.9951421619231651,12,2011591,12500
2008,Digital,63945,8438486,0.007577781132776662,12,48682,12500
2008,Physical,8374541,8438486,0.9924222188672234,12,2087822,12500
2009,Digital,99329,9135167,0.010873254971693457,12,77096,12500
2009,Physical,9035838,9135167,0.9891267450283066,12,2149554,12500
2010,Digital,183920,8608966,0.02136377353563715,12,135455,12500
2010,Physical,8425046,8608966,0.9786362264643629,12,2054730,12500
2011,Digital,536937,8321732,0.06452226531688356,12,332724,12500
2011,Physical,7784795,8321732,0.9354777346831165,12,2003149,12500
2012,Digital,863922,8163046,0.10583328821128779,12,467170,12500
2012,Physical,7299124,8163046,0.8941667117887122,12,1930641,12500
2013,Digital,1192836,9057096,0.1317018170062457,12,563232,12500
2013,Physical,7864260,9057096,0.8682981829937543,12,1950526,12500
2014,Digital,1719202,9136081,0.18817718450613563,12,730039,12500
2014,Physical,7416879,9136081,0.8118228154938644,12,1879661,12500
2015,Digital,2212553,9084179,0.24356114074810722,12,903905,12500
2015,Physical,6871626,9084179,0.7564388592518928,12,1825626,12500
2016,Digital,2452733,9021051,0.27188993832315106,12,1001788,12500
2016,Physical,6568318,9021051,0.728110061676849,12,1785531,12500
2017,Digital,2752214,9231648,0.2981281348682272,12,1068136,12500
2017,Physical,6479434,9231648,0.7018718651317728,12,1752297,12500
2018,Digital,3046521,9149176,0.3329831014290249,12,966418,12500
2018,Physical,6102655,9149176,0.6670168985709751,12,1698680,12500
2019,Digital,3430759,9199083,0.3729457599197659,12,935062,12500
2019,Physical,5768324,9199083,0.6270542400802341,12,1653939,12500
2020,Digital,4310016,6053717,0.7119619235586996,12,1091407,12500
2020,Physical,1743701,6053717,0.2880380764413004,12,629969,12500
2021,Digital,4394381,7361031,0.5969790101413783,12,1123334,12500
2021,Physical,2966650,7361031,0.4030209898586217,12,1118938,12500
2022,Digital,4692195,8402376,0.5584366850519424,12,1222245,12500
2022,Physical,3710181,8402376,0.44156331494805756,12,1309263,12500
2023,Digital,5476658,9197232,0.59546807126318,12,1347314,12500
2023,Physical,3720574,9197232,0.4045319287368199,12,1328712,12500
2024,Digital,5366644,8320678,0.6449767675182239,12,1386545,12500
2024,Physical,2954034,8320678,0.35502323248177614,12,1172425,12500
2025,Digital,6076196,9513049,0.6387222435204528,12,1524393,12500
2025,Physical,3436853,9513049,0.3612777564795472,12,1290324,12500
2026,Digital,2137504,3272629,0.6531458347402043,4,529569,0
2026,Physical,1135125,3272629,0.34685416525979573,4,432337,0
