checkoutyear,usageclass,title,total_checkouts,creator,subjects,publisher,publicationyear,materialtype,checkouttype,isbn,sample_design
2006,Digital,Blink: The Power of Thinking Without Thinking,77,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2007,Digital,Blink: The Power of Thinking Without Thinking,56,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2008,Digital,Blink: The Power of Thinking Without Thinking (unabridged) (Unabridged),52,Malcolm Gladwell,"Business, New Age, Nonfiction, Psychology, Self-Improvement",Hachette Audio,2006,AUDIOBOOK,OverDrive,,balanced_by_year_and_usageclass
2009,Digital,"Breaking Dawn: The Twilight Saga, Book 4 (unabridged) (Unabridged)",120,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2008,AUDIOBOOK,OverDrive,,balanced_by_year_and_usageclass
2010,Digital,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",91,Suzanne Collins,"Science Fiction, Thriller, Young Adult Fiction",Scholastic Inc. Audiobooks,2010,AUDIOBOOK,OverDrive,,balanced_by_year_and_usageclass
2011,Digital,The Paris Wife: A Novel,202,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2012,Digital,The Paris Wife: A Novel,607,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2013,Digital,The Paris Wife: A Novel,613,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2014,Digital,Consumer Reports,1216,,,,,MAGAZINE,Zinio,,balanced_by_year_and_usageclass
2015,Digital,Newsweek,1318,,,,,MAGAZINE,Zinio,,balanced_by_year_and_usageclass
2016,Digital,Newsweek,809,,,,,MAGAZINE,Zinio,,balanced_by_year_and_usageclass
2017,Digital,Commonwealth,879,Ann Patchett,"Fiction, Literature",HarperCollins Publishers Inc.,2016,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2018,Digital,The Red Pencil (Unabridged),1157,Andrea Davis Pinkney,"Juvenile Fiction, Juvenile Literature",Hachette Audio,2014,AUDIOBOOK,OverDrive,,balanced_by_year_and_usageclass
2019,Digital,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",4943,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2020,Digital,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",2235,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2021,Digital,Pachinko,542,Min Jin Lee,"Fiction, Literature","Hachette Digital, Inc.",2017,EBOOK,OverDrive,,balanced_by_year_and_usageclass
2022,Digital,"Outlander: Outlander Series, Book 1",759,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Random House, Inc.",2008,EBOOK,OverDrive,9780440335160,balanced_by_year_and_usageclass
2023,Digital,Our Missing Hearts: A Novel,2040,Celeste Ng,"Fantasy, Fiction, Literature","Penguin Group (USA), Inc.",2022,EBOOK,OverDrive,9780593492550,balanced_by_year_and_usageclass
2024,Digital,There There: A novel (unabridged),1008,Tommy Orange,"Fiction, Literature",Books on Tape,2018,AUDIOBOOK; Audiobook,OverDrive,9780525635598,balanced_by_year_and_usageclass
2025,Digital,Creation Lake: A Novel,1222,Rachel Kushner,"Fiction, Literature","Scribner; Simon & Schuster, Inc.",2024,EBOOK; Ebook,OverDrive,9781982116545,balanced_by_year_and_usageclass
