checkoutyear,usageclass,title,total_checkouts,creator,subjects,publisher,publicationyear,materialtype,checkouttype,isbn,sample_design
2006,Physical,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",877,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2007,Physical,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",650,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2008,Physical,Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.,592,,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,",[2008],VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2009,Physical,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",1125,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2010,Physical,"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",658,,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,",c2008.,VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2011,Physical,Cleopatra : a life / Stacy Schiff.,839,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,BOOK,Horizon,,balanced_by_year_and_usageclass
2012,Physical,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",1154,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2013,Physical,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",1151,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2014,Physical,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",982,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],VIDEODISC,Horizon,,balanced_by_year_and_usageclass
2015,Physical,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,773,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],VIDEODISC,Horizon,,balanced_by_year_and_usageclass
