checkoutyear,materialtype,materialtype_checkouts,annual_physical_sample_checkouts,materialtype_share,sampled_title_month_rows
2006,ATLAS,10,42677,0.00023431825104857417,6
2006,BOOK,22743,42677,0.5329099983597723,8888
2006,CR,42,42677,0.0009841366544040115,19
2006,ER,1,42677,2.3431825104857417e-05,1
2006,KIT,67,42677,0.001569932282025447,25
2006,MIXED,42,42677,0.0009841366544040115,14
2006,MUSIC,111,42677,0.0026009325866391732,80
2006,SOUNDCASS,482,42677,0.011294139700541276,270
2006,SOUNDDISC,8850,42677,0.20737165217798814,1969
2006,SOUNDREC,44,42677,0.0010310003046137264,13
2006,VIDEOCASS,2161,42677,0.05063617405159688,608
2006,VIDEODISC,8052,42677,0.18867305574431192,593
2006,VISUAL,72,42677,0.0016870914075497341,14
2007,ATLAS,3,45290,6.62397880326783e-05,2
2007,BOOK,26114,45290,0.5765952748951203,9079
2007,CR,85,45290,0.0018767939942592184,33
2007,ER,3,45290,6.62397880326783e-05,2
2007,"ER, VIDEODISC",66,45290,0.0014572753367189226,7
2007,KIT,36,45290,0.0007948774563921395,12
2007,MAP,1,45290,2.20799293442261e-05,1
2007,MICROFORM,2,45290,4.41598586884522e-05,1
2007,MIXED,7,45290,0.0001545595054095827,4
2007,MUSIC,93,45290,0.0020534334290130273,72
2007,REGPRINT,195,45290,0.004305586222124089,8
2007,SOUNDCASS,474,45290,0.01046588650916317,291
2007,SOUNDDISC,7650,45290,0.16891145948332964,1607
2007,"SOUNDDISC, SOUNDREC",4,45290,8.83197173769044e-05,4
2007,SOUNDREC,74,45290,0.0016339147714727314,22
2007,VIDEOCASS,1651,45290,0.03645396334731729,575
2007,VIDEODISC,8773,45290,0.19370722013689556,767
2007,VISUAL,59,45290,0.0013027158313093398,13
2008,ATLAS,1,54003,1.8517489769086902e-05,1
2008,BOOK,27072,54003,0.5013054830287206,8895
2008,CR,28,54003,0.0005184897135344333,14
2008,"ER, SOUNDDISC, VIDEODISC",1,54003,1.8517489769086902e-05,1
2008,"ER, VIDEODISC",25,54003,0.0004629372442271726,3
2008,MAP,1,54003,1.8517489769086902e-05,1
2008,MIXED,7,54003,0.00012962242838360832,6
2008,MUSIC,123,54003,0.0022776512415976892,90
2008,REGPRINT,23,54003,0.0004259022646889988,1
2008,SOUNDCASS,246,54003,0.0045553024831953785,176
2008,SOUNDDISC,9029,54003,0.16719441512508565,1878
2008,SOUNDREC,79,54003,0.0014628816917578653,20
2008,VIDEOCASS,908,54003,0.01681388071033091,391
2008,VIDEODISC,16406,54003,0.3037979371516397,1012
2008,VISUAL,54,54003,0.0009999444475306926,11
2009,ATLAS,2,56524,3.538320005661312e-05,2
2009,BOOK,27468,56524,0.4859528695775246,9058
2009,CR,37,56524,0.0006545892010473427,19
2009,ER,11,56524,0.00019460760031137216,4
