usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Digital,OverDrive,EBOOK,2006,1,9,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,2,5,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,3,5,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,4,8,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,5,8,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,6,7,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,7,5,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,8,7,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,9,5,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,10,4,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,11,7,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2006,12,7,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2007,1,4,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
Digital,OverDrive,EBOOK,2007,2,5,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
