usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,VIDEODISC,2006,2,114,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2006,4,177,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2006,5,197,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2006,10,225,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2006,11,164,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2007,6,135,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2007,9,133,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2007,10,137,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2007,11,126,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2007,12,119,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
