checkout_year,digital_checkouts,physical_checkouts,total_checkouts,digital_share,physical_share
2005,3959,3794726,3798685,0.00104220,0.99895780
2006,16839,6582479,6599318,0.00255163,0.99744837
2007,34620,7092007,7126627,0.00485784,0.99514216
2008,63945,8374541,8438486,0.00757778,0.99242222
2009,99329,9035838,9135167,0.01087325,0.98912675
2010,183920,8425046,8608966,0.02136377,0.97863623
2011,536937,7784795,8321732,0.06452227,0.93547773
2012,863922,7299124,8163046,0.10583329,0.89416671
2013,1192836,7864260,9057096,0.13170182,0.86829818
2014,1719202,7416879,9136081,0.18817718,0.81182282
2015,2212553,6871626,9084179,0.24356114,0.75643886
2016,2452733,6568318,9021051,0.27188994,0.72811006
2017,2752214,6479434,9231648,0.29812813,0.70187187
2018,3046521,6102655,9149176,0.33298310,0.66701690
2019,3430759,5768324,9199083,0.37294576,0.62705424
2020,4310016,1743701,6053717,0.71196192,0.28803808
2021,4394381,2966650,7361031,0.59697901,0.40302099
2022,4692195,3710181,8402376,0.55843669,0.44156331
2023,5476658,3720574,9197232,0.59546807,0.40453193
2024,5366644,2954034,8320678,0.64497677,0.35502323
2025,6076196,3436853,9513049,0.63872224,0.36127776
2026,2137504,1135125,3272629,0.65314583,0.34685417
