checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2006,1,77,Digital,OverDrive,EBOOK,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
2006,2,64,Digital,OverDrive,AUDIOBOOK,History of the World (Updated) (Unabridged),,J. M. Roberts,History,"Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2006,3,54,Digital,OverDrive,AUDIOBOOK,A People's History of the United States: Highlights from the Twentieth Century (abridged) (Abridged),,Howard Zinn,"History, Nonfiction",HarperCollins Publishers Inc.,2005,balanced_by_year_and_usageclass
2006,4,46,Digital,OverDrive,AUDIOBOOK,The Truth (with jokes) (Unabridged),,Al Franken,"Current Events, Essays, Nonfiction, Politics","Brilliance Audio, Inc.",2005,balanced_by_year_and_usageclass
2006,5,38,Digital,OverDrive,AUDIOBOOK,Instant Immersion Spanish (Unabridged),,TOPICS Entertainment,"Foreign Language Study, Foreign Language Study - Spanish, Nonfiction",Topics Entertainment,2005,balanced_by_year_and_usageclass
2006,6,35,Digital,OverDrive,AUDIOBOOK,Acqua Alta (Unabridged),,Donna Leon,"Mystery, Suspense","Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2006,7,32,Digital,OverDrive,AUDIOBOOK,Confessions of an Economic Hit Man (Unabridged),,John Perkins,"Biography & Autobiography, Business, Nonfiction","Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2006,8,31,Digital,OverDrive,AUDIOBOOK,Blink: The Power of Thinking Without Thinking (unabridged) (Unabridged),,Malcolm Gladwell,"Business, New Age, Nonfiction, Psychology, Self-Improvement",Hachette Audio,2006,balanced_by_year_and_usageclass
2006,9,29,Digital,OverDrive,AUDIOBOOK,Breakfast of Champions (Unabridged),,Kurt Vonnegut,"Fiction, Literature",HarperCollins Publishers Inc.,2005,balanced_by_year_and_usageclass
2006,10,26,Digital,OverDrive,AUDIOBOOK,Classical Music 101: A Complete Guide to Learning and Loving Classical Music (unabridged) (Unabridged),,Fred Plotkin,"Music, Nonfiction","Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2007,1,56,Digital,OverDrive,EBOOK,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
2007,2,55,Digital,OverDrive,AUDIOBOOK,Blink: The Power of Thinking Without Thinking (unabridged) (Unabridged),,Malcolm Gladwell,"Business, New Age, Nonfiction, Psychology, Self-Improvement",Hachette Audio,2006,balanced_by_year_and_usageclass
2007,3,47,Digital,OverDrive,AUDIOBOOK,The Tipping Point: How Little Things Can Make a Big Difference (abridged) (Abridged),,Malcolm Gladwell,"Business, Nonfiction",Hachette Audio,2006,balanced_by_year_and_usageclass
2007,4,44,Digital,OverDrive,AUDIOBOOK,"The Golden Compass: His Dark Materials Series, Book 1 (unabridged) (Unabridged)",,Philip Pullman,"Fantasy, Science Fiction, Young Adult Fiction",Books on Tape,2006,balanced_by_year_and_usageclass
2007,5,38,Digital,OverDrive,VIDEO,Coral Reef Adventures (IMAX),,Greg MacGillivray,"Documentary, IMAX",RLJ Entertainment,,balanced_by_year_and_usageclass
2007,6,37,Digital,OverDrive,AUDIOBOOK,A People's History of the United States: Highlights from the Twentieth Century (abridged) (Abridged),,Howard Zinn,"History, Nonfiction",HarperCollins Publishers Inc.,2005,balanced_by_year_and_usageclass
2007,7,35,Digital,OverDrive,AUDIOBOOK,The Truth (with jokes) (Unabridged),,Al Franken,"Current Events, Essays, Nonfiction, Politics","Brilliance Audio, Inc.",2005,balanced_by_year_and_usageclass
2007,8,33,Digital,OverDrive,AUDIOBOOK,"Ask and It Is Given, Part I: The Law of Attraction (unabridged) (Unabridged)",,Esther Hicks,"Nonfiction, Self-Improvement",Hay House,2006,balanced_by_year_and_usageclass
2007,9,33,Digital,OverDrive,EBOOK,My Life Uncovered,,,,Focus Publishing/R. Pullins Company,2007,balanced_by_year_and_usageclass
2007,10,32,Digital,OverDrive,AUDIOBOOK,Confessions of an Economic Hit Man (Unabridged),,John Perkins,"Biography & Autobiography, Business, Nonfiction","Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2008,1,52,Digital,OverDrive,AUDIOBOOK,Blink: The Power of Thinking Without Thinking (unabridged) (Unabridged),,Malcolm Gladwell,"Business, New Age, Nonfiction, Psychology, Self-Improvement",Hachette Audio,2006,balanced_by_year_and_usageclass
2008,2,49,Digital,OverDrive,AUDIOBOOK,The Power of Now: A Guide to Spiritual Enlightenment (unabridged) (Unabridged),,Eckhart Tolle,"New Age, Nonfiction, Self-Improvement",New World Library,2005,balanced_by_year_and_usageclass
2008,3,39,Digital,OverDrive,AUDIOBOOK,"New Moon: The Twilight Saga, Book 2 (unabridged) (Unabridged)",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2006,balanced_by_year_and_usageclass
2008,4,37,Digital,OverDrive,EBOOK,"New Moon: The Twilight Saga, Book 2",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction","Hachette Digital, Inc.",2007,balanced_by_year_and_usageclass
